x, y, z
-0.12,0.08,0
0.95,0.03,1
0.05,0.92,1
0.89,0.94,0
-0.05,-0.11,0
1.02,0.97,0
0.96,1.05,0
0.08,0.96,1
1.04,-0.02,1
-0.08,1.01,1
0.92,-0.05,1
-0.03,0.93,1
1.01,0.04,1
0.07,-0.04,0
-0.98,0.95,1
-0.94,-0.03,0
0.03,-0.97,0
-1.02,0.06,1
-0.07,-0.96,0
0.96,-1.04,0
-0.95,-1.01,0
-1.03,-0.92,0
0.93,1.03,0
-0.96,1.02,1
1.05,0.95,0
0.04,0.07,0
-0.02,-0.05,0
0.97,-0.98,0
-0.99,0.97,1
-0.94,0.94,0
0.06,1.03,1
1.02,0.02,1
-0.04,0.05,0
0.93,-0.02,1
0.01,0.94,1
-0.07,1.05,1
1.03,1.02,0
-1.04,-0.07,0
-0.01,-0.94,0
-0.96,-1.05,0
0.95,0.96,0
-0.05,-0.08,0
0.08,-0.03,0
-1.05,0.04,1
-0.03,-1.01,0
0.02,-0.06,0
-0.97,-0.99,0
-1.01,1.04,1
0.94,-0.96,0
1.06,0.06,1
-0.06,0.97,1
0.99,-0.07,1
-0.93,0.02,1
0.07,1.04,1
-1.00,-1.02,0
0.04,-0.01,0
-0.01,0.99,1
0.98,0.07,1
-0.09,-0.04,0
-0.02,-0.98,0
-0.97,1.01,1
1.04,-0.04,1
0.03,-0.95,0
-0.95,-0.97,0
-1.03,1.00,1
1.00,-1.01,0
0.05,0.96,1
-0.96,0.98,1
0.97,0.05,1
-0.04,-0.07,0
0.09,0.02,0
-1.02,-0.96,0
-0.06,0.94,1
0.92,1.01,0
-0.98,-0.04,0
0.01,-1.03,0
1.05,1.03,0
0.95,-0.05,1
-0.07,-1.02,0
-0.99,0.95,1
0.06,-0.06,0
-0.05,1.02,1
1.01,0.95,0
0.02,0.04,0
-1.04,-1.00,0
0.08,-0.98,0
-0.94,1.05,1
-0.03,-0.02,0
0.96,1.04,0
1.03,-0.06,1
-0.08,0.03,0
-1.01,0.07,1
0.04,0.95,1
-0.96,-1.01,0
0.94,-0.04,1
-0.02,0.96,1
0.99,0.03,1
-0.97,0.96,1
-0.06,-0.95,0
0.07,0.01,0
-1.05,-0.98,0
0.03,-1.01,0
-0.99,-0.06,0
1.02,0.98,0
-0.04,0.98,1
0.05,-0.97,0
0.95,0.99,0
-1.00,1.02,1
-0.08,-0.01,0
0.09,0.95,1
0.97,-0.06,1
-0.95,0.05,1
1.04,1.01,0
-0.01,-0.96,0
0.06,1.01,1
-0.03,0.94,1
0.98,-0.99,0
-1.02,-0.03,0
0.02,-0.04,0
-0.07,0.95,1
0.93,0.06,1
-0.98,-0.95,0
1.00,0.96,0
-0.94,-1.03,0
1.05,-0.07,1
-0.05,1.04,1
0.08,0.97,1
-1.01,0.95,1
-0.09,-0.03,0
0.04,0.03,0
0.96,-0.02,1
-0.96,0.03,1
0.01,-0.95,0
-0.06,-1.04,0
1.03,-0.03,1
-1.03,0.06,1
0.95,0.07,1
-0.97,-0.98,0
0.07,-0.01,0
-0.04,1.03,1
0.03,0.95,1
-1.04,-0.05,0
0.99,1.00,0
-0.02,0.05,0
-0.95,1.00,1
0.94,-1.02,0
1.02,0.05,1
-0.08,-0.97,0
-1.00,-1.04,0
0.05,-0.03,0
-0.99,0.98,1
0.06,0.94,1
-0.01,-0.99,0
0.97,0.98,0
-0.07,0.99,1
1.04,0.96,0
-1.05,0.01,1
0.08,-0.05,0
-0.03,0.07,0
0.95,-0.06,1
-0.94,1.04,1
0.02,1.00,1
-0.05,-0.02,0
0.99,-0.04,1
-0.98,-0.02,0
1.01,1.03,0
0.07,1.02,1
-0.06,-0.96,0
-1.02,1.01,1
0.03,0.96,1
-0.97,0.07,1
0.04,-0.98,0
0.96,0.04,1
-0.04,0.97,1
-0.95,-0.05,0
0.05,0.98,1
-1.04,0.95,1
0.01,-0.02,0
-0.01,1.01,1
1.03,1.04,0
-0.09,0.96,1
0.98,1.02,0
-0.02,-0.93,0
-0.96,1.03,1
0.93,-0.07,1
1.00,0.02,1
-0.08,-0.99,0
-1.01,-0.97,0
0.06,0.05,0
